, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
,,, $37.00 , tahe  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.2024, $15.00 , gel k.mode ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $90.00 , tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2024, $16.00 , kull , $35.00 , trata ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2024, $31.00 ,, $15.00 , sty/pow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 , TAH , $177.00 , TAHE  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 , FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2024, 50 depositode peinado ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 12 24,,, $16.00 ,,3 53 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 12 24,,clay wax, $16.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2024,,, $15.00 ,spray,9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,styling powder, $22.00 ,kull 11;47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel, $50.00 ,th ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $106.00 ,, $119.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,TAH , $87.00 ,Tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $61.00 ,FLIX , $32.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2024, $15.00 ,sty/pow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cera,,, $12.00 ,,2 31 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $14.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,CERA spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2024, $16.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
